,name,symbol,currentPrice,r,s,m,v,PE,revenueGrowth,operatingCashflow,freeCashflow,marketValue
0,聚陽,1477.TW,362.5,0.0004994107761560417,112.12579288497572,0.000500233160912049,0.01708134752458647,7.525275907320634,-0.016,3888828928,2626491392,87673159600.0
0,士電,1503.TW,101.0,0.0001986953073907687,36.88007726945128,0.0002360981439118657,0.014474175622795536,8.728977561068183,0.009,2877776896,1723083520,52618172000.0
0,東元,1504.TW,47.3,7.973654132720037e-05,21.27202235157651,0.00012145208677487602,0.019593746167272046,7.693015737954035,0.036,5953511936,3715649792,99768944000.0
0,正道,1506.TW,15.45,3.087922405597614e-05,16.119256917536415,6.440812053888571e-05,0.020476825970160543,35.83451457114293,-0.07,169935008,-456381120,4636730400.0
0,瑞利,1512.TW,11.6,-1.1591966131291136e-05,7.553839517033488,-1.0315797203191819e-05,0.02566720861120037,-1.7686271420901967,0.69,-110778000,-266862624,1138922800.0
0,中興電,1513.TW,98.1,0.00029823112728676775,24.88728365645799,0.00032794408615083597,0.0195537811549879,9.101442446584688,0.127,4619942912,4793432576,47657667484.799995
0,亞力,1514.TW,49.0,0.00026695823988799627,10.714625370691948,0.0002889829665315437,0.01930997083165535,4.924368114401101,0.152,-685683008,-978061632,11957666000.0
0,力山,1515.TW,38.25,4.204097180451445e-05,24.02220067501068,6.0464683374299384e-05,0.02354657685969009,-19.544836863029428,0.083,528819008,-237399744,6941380500.0
0,川飛,1516.TW,16.55,-0.0003568168691826885,32.597361819486906,-0.0003319450279427149,0.030045457183766815,35.23303614404712,-0.814,337292000,350597376,642471000.0
0,利奇,1517.TW,14.75,-8.306502136900301e-05,12.065351703475903,-6.017606275008835e-05,0.021981225042012918,11.370450892167591,-0.683,1079255040,903766720,3293675000.0
0,華城,1519.TW,263.0,0.0004723050837679158,23.89822169575421,0.00048130180305014483,0.021073851326886245,4.667337149210071,0.517,989059008,888207232,68658519104.0
0,大億,1521.TW,36.95,8.712699802137884e-05,46.17513171437858,9.556042802526187e-05,0.01894923621414252,42.385350791237734,-0.063,495500992,263819872,2816698500.0
0,堤維西,1522.TW,39.8,0.0001579784685031386,20.55701616096138,0.00017411446702027603,0.020918133614811096,7.629533874267893,-0.041,3051279104,1873422464,12415929036.8
0,耿鼎,1524.TW,27.25,0.00011044192565509531,11.485481919361847,0.00010524910902922172,0.021335166076496458,6.612044117209469,-0.027,754702976,405568384,4504697500.0
0,江申,1525.TW,79.3,0.00032449849182784467,44.430146047621015,0.0003379207022256442,0.02118799791727392,8.309486721981086,0.175,-30203000,-26793000,5820627612.8
0,日馳,1526.TW,31.1,-0.00015003537638409546,23.844414535997416,-0.00015869235990902692,0.025784542337629057,5.796170614121852,-0.553,-258347008,-389667488,1866000000.0
0,鑽全,1527.TW,38.75,-1.3917477827416586e-05,44.69281605325237,-6.061784224439728e-06,0.01902257236076164,12.482974101779638,-0.45,1064936000,795788096,5369626560.0
0,恩德,1528.TW,11.15,3.3287778221468345e-06,10.441943891689695,2.9590680456425018e-05,0.020858418548691138,19.705001791964587,-0.087,-111004000,-182742128,2133340739.2
0,樂事綠能,1529.TW,30.2,-0.0001328828361440053,35.3147860684103,-0.00011901657016525239,0.031843297334445145,35.978855218443904,0.716,-2693000,-343451488,4548270758.4
0,亞崴,1530.TW,29.8,0.00033286274619491387,28.07544224516132,0.0003533188508428283,0.01846182716906322,12.780845310140636,-0.117,420344000,280276736,2878507160.0
0,高林股,1531.TW,13.2,3.643501250626067e-05,19.614802602776823,4.753741476796799e-05,0.018958385406749247,130.7955907017032,-0.232,393067008,267824624,2403825600.0
0,勤美,1532.TW,35.25,0.0003310942326811403,24.384036254837596,0.0003644936875859812,0.02099939451762803,16.510391993769282,0.533,1813224960,459465888,13258405968.0
0,車王電,1533.TW,53.5,0.00014857465727191282,35.49780950879441,0.0001399270730089889,0.028579546955366596,-38.224134591465216,0.411,-518284992,-467388000,5272264500.0
0,中宇,1535.TW,51.0,0.00019713116725971204,38.12473994353699,0.00022784334661188192,0.01589629957997395,10.128907082855346,0.205,-133055000,-54176124,6310893000.0
0,和大,1536.TW,63.3,0.00043858496782451557,51.20228549344988,0.000438242924345051,0.02151932654226099,20.19766332959178,-0.077,596648000,-540927360,17693490412.8
0,廣隆,1537.TW,131.5,0.00021600245811538945,82.02241551777696,0.0002292369304288883,0.015629073628691034,10.416649675979105,-0.205,1134996992,1038800768,10791416000.0
0,正峰,1538.TW,11.85,-0.00012286169094291856,107.98394904675256,-0.00012403287098153225,0.02568531973847805,10796.349792049912,0.005,34605000,42359624,898692150.0
0,巨庭,1539.TW,22.5,3.661746863355567e-05,16.22853889732597,5.483956129068233e-05,0.023344727417804974,9.021280456264114,-0.391,317632000,1066374528,1470825000.0
0,喬福,1540.TW,16.45,0.00014089799184891655,16.866584158265244,0.00018992812457601955,0.015940252620852607,13.616515463220171,0.187,182116000,184995744,1406047300.0
0,錩泰,1541.TW,30.5,5.1874766810628075e-05,25.261105280363335,5.2661788200718536e-05,0.023627753245638955,-631.8676935524302,-0.066,801403008,741616256,2403400000.0
0,伸興,1558.TW,108.5,0.0003812201823066453,119.09569944786618,0.00037525818674024176,0.01397512099055264,32.15724017520646,-0.01,2286088960,979131648,7219112600.0
0,倉佑,1568.TW,35.45,0.00016114203139584764,19.77221971814822,9.219138631942319e-05,0.01695433002760249,11.443912969673512,-0.056,378158016,58625124,3628201150.0000005
0,信錦,1582.TW,63.8,-0.000140352145033526,74.25024068848815,-0.00015017146251675422,0.013344474179124752,26.103666041518228,-0.229,1763927040,1235555456,7893718800.0
0,程泰,1583.TW,62.9,8.856247594116339e-05,50.628652601788446,9.107858716787024e-05,0.016942413107256974,9.264176545720288,-0.058,816009024,581142656,6944160000.0
0,吉茂,1587.TW,23.1,8.897490206507102e-05,20.6972070112461,0.0001175570487623447,0.018038226689461083,16.31357269594587,-0.181,454420992,38950000,1585214400.0
0,直得,1597.TW,63.8,0.00015754198688765333,55.07859769821167,0.00014014662736315043,0.02598697563805875,18.44507559964489,-0.367,132275000,-98325000,5567315600.0
0,岱宇,1598.TW,32.05,-5.91948031167892e-06,44.55399875705066,1.6376117284998632e-05,0.017325683052162838,-48.96413367803016,0.087,668849024,1231406208,4828236606.4
0,華電,1603.TW,37.0,0.00010701091143356337,18.00123162883166,0.00011141357725792508,0.022577588643159275,7.071206795866245,0.24,-427567008,-596429888,5877302000.0
0,聲寶,1604.TW,28.4,-4.130346492359302e-05,20.003572388472573,-2.4327920714077322e-05,0.019093572539993626,10.633812885228362,0.013,516279008,-1375483776,10331011200.0
0,華新,1605.TW,35.4,0.00011647180730054693,14.61108984405009,0.00012852377266293473,0.023333691280513286,4.101225520726996,-0.021,38557376512,13898664960,142709083699.19998
0,華榮,1608.TW,19.15,7.345925129445422e-05,9.924707916740983,8.811617800114896e-05,0.021454721919828366,5.5208642869846365,-0.181,673891008,-549842752,8123621193.599999
0,大亞,1609.TW,32.7,0.00022536667246227302,9.051821867202962,0.00024071617767587483,0.02024844075365452,2.2965947345647892,-0.109,2476731904,-2390129664,22348226400.000004
0,中電,1611.TW,15.7,-2.656995189493996e-06,15.714522646962688,5.408929206409789e-06,0.020836545459600925,47.621209186206386,-0.213,161566000,-43764000,5066955200.0
0,宏泰,1612.TW,24.15,6.353802000419475e-05,12.792126006851506,8.842817060406652e-05,0.019741337482685115,7.446236483865619,0.026,627454016,-139574624,7633332000.0
0,三洋電,1614.TW,37.75,0.00015089274684613397,28.058482024828212,0.00016564820819395888,0.014795561212933163,23.809817731103248,-0.031,164003008,-73816872,9774645552.0
0,大山,1615.TW,37.4,0.0003081900257589167,9.65052205991777,0.0003143385016690298,0.019678792687482974,3.775265598592527,-0.051,16627000,-272162368,6123240499.2
0,億泰,1616.TW,10.1,9.1977213054118e-05,6.632533771534126,0.00010921846674006001,0.022544205712044112,13.2800305209146,0.115,129962000,-31488876,1913889400.0
0,榮星,1617.TW,16.0,7.847542119405051e-05,11.257047348628179,8.604582409366956e-05,0.01734114608106964,46.94600840073545,-0.327,287756000,77337504,2523824128.0
0,合機,1618.TW,25.4,9.759463484999102e-05,13.179483368229857,0.00013014777556389934,0.02251767818693308,9.852455234532883,0.822,32078000,101530128,4894376800.0
0,中化,1701.TW,22.75,0.0001500622241857914,16.92069135564234,0.00016839368571523129,0.019893606984154613,13.134266657392589,0.013,585276032,-62424876,6781342568.0
0,南僑,1702.TW,50.4,0.00032141936470871595,30.920034131301858,0.00033842329792822844,0.020547568158703775,13.131097535924077,0.111,2381760000,1152363136,12503836800.0
0,葡萄王,1707.TW,149.5,0.0004299181000655586,89.42810143946785,0.00047680894477127343,0.0202476431261215,9.186327253100217,-0.021,2776495104,1814822912,22146480304.0
0,東鹼,1708.TW,31.6,0.00020192130280762824,18.95290373698416,0.0002389834077270047,0.01977357166925576,20.20176346620824,-0.283,1432294016,1079532160,7868463200.0
0,和益,1709.TW,20.35,0.00014602749855495474,12.987696392357973,0.00015000702670895193,0.016691166764810306,10.005708807499214,-0.09,750425984,503106880,9707275600.0
0,東聯,1710.TW,18.35,8.467558981246857e-05,22.033479438610083,9.869074614236243e-05,0.02234615187673196,23.206244467476402,-0.051,484852000,-364627616,16085499606.400002
0,永光,1711.TW,18.95,8.99066634708547e-05,15.220323602492273,0.00011203537532926637,0.02177462186461403,44.80533516047846,-0.18,983331008,151824128,10379900400.0
0,興農,1712.TW,37.75,0.0002942758410279262,14.150868884739968,0.00031793183735085535,0.018126248943555613,4.383138920970906,-0.249,2866919936,2179768064,15873573000.0
